Player,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,,RUSHING,RECEIVING,MISC,,,,,
Jeremy Ruckert NYJ,TE57,0.0,0.0,0.0,16.2,161.3,1.2,0.1,39.4
Deneric Prince KC,RB84,22.5,182.4,1.3,7.2,53.3,0.1,0.0,39.0
Josh Oliver MIN,TE58,0.0,0.0,0.0,16.1,157.0,1.2,0.4,38.3
David Bell CLE,WR127,0.0,1.0,0.0,14.6,150.4,1.4,0.0,38.2
Johnny Mundt MIN,TE59,0.0,0.0,0.0,16.8,161.0,0.8,0.0,37.8
Jamison Crowder WAS,WR128,0.0,0.0,0.0,16.7,165.2,0.7,0.2,37.2
Kyle Juszczyk SF,RB85,5.6,20.2,0.1,14.2,136.7,1.1,0.0,37.0
Dyami Brown WAS,WR129,0.0,1.0,0.0,13.3,175.6,0.9,0.1,36.6
Mack Hollins BUF,WR130,0.0,0.0,0.0,12.8,165.0,1.2,0.0,36.2
Royce Freeman DAL,RB86,56.5,169.9,1.4,5.9,40.0,0.2,0.1,35.9
Brandon Powell MIN,WR131,1.9,14.6,0.0,14.4,144.1,0.9,0.1,35.4
Jordan Mason SF,RB87,33.1,182.9,1.6,4.2,29.0,0.1,0.0,35.1
Isaac Guerendo SF,RB88,29.9,167.3,1.3,5.2,43.0,0.1,0.0,34.4
Josh Whyle TEN,TE60,0.0,0.0,0.0,13.6,139.8,1.1,0.1,34.1
Kadarius Toney KC,WR132,7.5,44.5,0.2,11.0,121.6,0.8,0.1,34.0
Davis Allen LAR,TE61,0.0,0.0,0.0,13.8,140.9,1.0,0.0,33.9
Justin Watson KC,WR133,0.0,0.0,0.0,11.3,158.7,1.1,0.1,33.8
Cornelius Johnson LAC,WR134,0.0,0.0,0.0,11.0,166.0,1.0,0.0,33.6
Connor Heyward PIT,TE62,0.0,0.0,0.0,15.3,137.6,0.7,0.0,33.4
