Player,REC,REC_YDS,REC_TDS,ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,POS
Malik Taylor NYJ,1.7,19.1,0.2,0.0,0.0,0.0,0.0,4.6,WR
Lance McCutcheon NYJ,1.7,18.9,0.2,0.0,0.0,0.0,0.0,4.6,WR
Mason Kinsey TEN,1.5,19.3,0.2,0.0,0.0,0.0,0.0,4.5,WR
Colton Dowell TEN,1.5,19.3,0.2,0.0,0.0,0.0,0.0,4.5,WR
Jacob Harris PHI,1.6,18.4,0.2,0.0,0.0,0.0,0.0,4.5,WR
Tyrie Cleveland IND,1.5,18.4,0.2,0.0,0.0,0.0,0.0,4.4,WR
Juwann Winfree IND,1.5,18.1,0.2,0.0,0.0,0.0,0.0,4.4,WR
Kristian Wilkerson LV,1.5,17.5,0.2,0.0,0.0,0.0,0.0,4.3,WR
Mike Strachan CAR,1.5,19.7,0.1,0.0,0.0,0.0,0.0,4.2,WR
Jalen Virgil DEN,1.5,17.4,0.2,0.0,0.0,0.0,0.0,4.2,WR
Dez Fitzpatrick PIT,1.5,16.6,0.2,0.0,0.0,0.0,0.0,4.1,WR
Andre Baccellia ARI,1.5,16.7,0.2,0.0,0.0,0.0,0.0,4.1,WR
Gunner Olszewski NYG,1.7,17.8,0.1,0.0,0.0,0.0,0.0,4.1,WR
David Sills DEN,1.5,16.5,0.1,0.0,0.0,0.0,0.0,4.0,WR
Kawaan Baker NE,1.5,19.4,0.1,0.0,0.0,0.0,0.0,3.8,WR
Quintez Cephus HOU,0.5,1.5,0.1,0.0,0.0,0.0,0.0,1.1,WR
